,Score,Text,negative
183144,2,product may help blood sugar realli like tast tri chocol peanut butter peanut butter appl cinamon berri flavor like,1
353009,5,use arrowhead gluten free purpos like use purpos flour gluten book make great,0
487623,5,intern ship great payment went fast great work amazon,0
160266,2,boyfriend california complain get italian dri salami wisconsin surpris order salami custom servic remark salami arriv still moist hung dri week later boyfriend eye aglow cut open extrem disappoint much fat salami one rememb one brother occasion send ate salami said eh nondescript two week later brother sent dri salami cut open see salami dri right away get right seem lot le fat second salami lot le greasi tast,1
565849,5,store longer carri vick menthol cough drop happi see amazon ok order 20 box time least one need friend also find cough drop best give away 1 2 box good scratchi throat whether allergi cold dri winter cough,0
449094,5,pick product italian import store seem unlik food ever eaten admit sat ignor kitchen cabinet sever month well doubt sardin season macaroni could possibl tast good tonight want someth quick easi home instead ventur rain brace heat sauc ate half spaghetti without doctor way delici fennel currant onion salt balanc sardin perfect sauc tast fishi get soon probabl everyon adventur come food strong recommend give tri,0
450064,4,tast chip incred problem bag fill air like see chip bag,0
394478,5,oh gawd someon plea buy send drink delici,0
378974,1,intrigu new le expens packag review bought 36 pk bitter rich like bold dark roast,1
498719,5,bought suck natur labor boy tasti delici organ could better also use babi get vaccin hospit staff drip sucros sugar water newborn babi mouth distract take blood sampl heel shock make peep focus sweet flavor mouth time get vaccin put one mouth 10 second even notic shot get finish lollipop amaz wonder exclus nurs babi sucker affect,0
283441,1,bag say 10 49 regular list price amazon almost 50 low low bargain 20 yes buy 11 bag cat food 20 act get free proctolog exam local bus station,1
553041,5,love tast tea read review skeptic order hook foojoy china classic min nan oolong wulong tea 2g x 100 teabag,0
255312,4,kosher high qualiti ad sugar excel chocol powder aluminum come liabl hold mail well also plastic bag around huge deal straighten arriv powder gourmet realli delici goe long way uniqu malti chocol flavor 99 chocol lover love pricey yes realli treat use secondari flavor addit 1 2 1 2 cheaper frappaccino mix blend coffe drink home indespens minus one star pricey,0
414761,5,excel coffe appar famili late regga star bob marley someth product market stronger blend coffe someon acut tast bud mine might argu thought tast ident starbuck hous blend fair trade coffe help local corpor pod might want machin brew pod order unlik,0
8951,5,great dog allerg lot stuff safe grain corn wheat etc dog love tast use train,0
515735,5,high quliti pop corn recomend almost kernel pop crisp white pop healthi yummi tri almost,0
471622,1,like writer mani review read got disproportion high amount plain special k around 30 60 bowl got bowl kashi cereal net weight bowl plain special k 1 5 oz wherea cereal weigh around 2 5 oz special k also cheapest cereal make four make extrem suspici mani shipment assort seem unbalanc favor pretti upset purchas 4 cereal assort end contain 3 undesir mix warn base review like similar experi,1
164518,4,got none broken wish box alittl bit bigger everyth wonder hope marin okinawa love,0
69197,1,bar normal good shipment got moldi ined amazon custom servic help agre send replac box without requir u send bad bar back unfortun second shipment everi bit moldi first would order vendor get act togeth,1
309627,5,bichon frise love treat cut smaller piec train pup potti train easili treat bribe stick nose air ordinari milk bone spoil pooch,0
350485,5,local store carri chocol flavor malt milk anymor last 8 9 year mother law live mid west ship case sever year ago hord like mizer love stuff comfort food sick need treat grow glad final found numer googl internet search plea keep sell buy,0
187177,5,love cannoli shell tri mani fresh crispi tasti,0
434708,4,decid tri cool rush compani stock plea tell differ cool rush,0
400957,1,wast 27 89 attempt keep squirrel chipmunk away still yard follow applic save money purchas product,1
264758,4,perfect road trip want stop snack alot pick jerki yum,0
406788,5,sell thing perfect breakfast perfect better price local groceri store better select,0
147913,5,nice easi tast dark brown color toast well butter favorit philli cream chees alway great go well bean lucki get around boston one food dont much enjoy simpl flavor,0
249083,5,know great salt vinegar chip one individu bag mouth pucker deep river make great chip come packag right size one person enjoy kettl chip make bite great tast textur combin sure enjoy tri http www amazon com gp product b002c50xa8 ref cm cr rev prod titl,0
66620,5,coffe hawaii best world specif kona side island except,0
78017,4,ingredi seem good qualiti although noth recogniz like merrick great mix kibbl moisten dog need mush soft wet food,0
444797,5,tri sever brand stevia found funni tast persist tri differ type lure natur calori sweeten artifici sweeten agre never like idea put bodi nu natur liquid stevia much better stevia tri use cold hot food beverag lone sweeten sometim natur sweeten like mapl syrup honey reduc calori like much bother tri nu natur stevia powder offer comparison high recommend stevia product,0
470202,5,alway daili fiber found bar great tast good chocol lover fill bill addit give much need fiber also quench hunger pang,0
276521,5,erythritol main ingredi product sugar refin tast like real thing great cereal also use bake heat stabl bake alter textur bit flavor keep hand time,0
221693,5,fix problem nice work bug fix fix problem one day receiv carnat instant breakfast,0
320787,1,one bag groceri store cost 3 guy want sell three 30 serious would anyon right mind pay 10 12oz bag chip,1
231846,5,kid love sour patch kid local store provid unit price avail amazon product product deliv fresh soft hard stale great flavor kid realli enjoy establish ration system 10 lb last quit long time like indulg child look good valu sour patch product could answer,0
478388,5,tri mani differ type includ best jerki ever similar wild bill jerki le salti hint sweet,0
330700,5,tri white cheddar lemon herb varieti white cheddar ok bit bland accept lemon herb chip surpris good almost good easier stop 1 bag white cheddar good news unlik mani soy content chip nice meali textur red flag ingredi worri bad news higher carb hope breakdown bag lemon herb chip calori 110 30 fat fat 3 5gcarb 14gprotein 10gif low carb diet probabl fit cheddar chip might 10g carb,0
448887,2,product great packag could better box would stabl envelop arriv product leak ship import disappoint expir date 4 month deliveri use product mani year alway least year expir date expect abl use product least summer 2013 make quantiti accept must use novemb 2012 sooner anticip,1
225359,5,got whim anoth impuls buy kill time amazon suppos someth product scope high protein snack immedi seduc combin word coconut macadamia nut butter ball ship realli fast tri one soon open box ball chewi sweet tast like candi protein powder tast happen like tast think great coconut flake outsid super good much macadamia flavor come still realli good though definit eat crave someth sweet stash school bag take go want tri flavor futur go tri make box last yeah like realli happen wish came multi flavor sampler pack rather sack sack would definit better thumb yummi ball,0
10260,1,horribl hemic tast extrem salti complet wast money first bag throw whole box away,1
436072,5,3 cat like cat food except one solid gold blend tuna,0
258423,4,nice full bodi espresso brew moka pot much get crema moka pot much method robusta blend experi crema bit easili machin stove top milk frother littl steam milk bring chocolati note describ lavazza nice morn treat amount 4 brick 8 8oz last good 3 month summertim use 6c moka pot probabl go everi 2 month subscript autumn spring,0
157036,5,excel coffe flavor flavor hard find groceri store amazon subcrib save done great job keep suppli,0
35363,5,perfect bf perfect size snack sugar issu good sourc protein sugar get low price subscrib save even better work great go need quick snack flavor tasti,0
418186,1,often go way write review tri free sampl bar receiv mail found sicken sweet feel like eat healthi food feel littl sick afterward stop first bite tast horribl fakey coconut good,1
346755,5,excit find shelf stabl serv keep desk work previous would pretend notic initi scrawl chanc bottl someon kept fridg sneak littl splash nobodi look big fan flavor coffe creamer drink cheap offic coffe peppermint mocha flavor sweet enough take edg perhap best featur much better coffe breath say coffe breath entir true pretti close opinion longer altern sip water coffe drown acrid burnt flavor like cheap lazi guzzl offic coffe sit caraf day littl gem perfect way take pleasur caffein day,0
274211,5,tri like best yet like great great great,0
184413,4,coffe dark roast blend smooth great flavor problem encount order occasionali amazon stock back order give extra order time coffe sit home empti cup,0
